commercial;contact;entreprise;nom_projet;localisation;ville;region;pays;email;telephone;type_client;type_projet;produits;statut;potentiel;canal_origine;flux_type;budget_mad;probabilite;commentaire;date_closing_est;prochaine_relance
Bruno;SEG;SEG;ZAER CUISINE;RABAT;RABAT;Rabat-Salé-Kénitra;Maroc;;;;Residential;;CHIFFRAGE;FAIBLE;;;4685000;LOW;;01/09/2026;
Bruno;AGADIR BAY;AGADIR BAY;RESIDENTIEL Q 63;AGADIR;AGADIR;Souss-Massa;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;4585325;HIGH;;30/06/2026;
Bruno;TGCC;TGCC;RESIDENCE FERMEE EN VILLAS BENGUERIR LOT BOIS;BEN GUERIR;BEN GUERIR;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;4529366;HIGH;;01/09/2026;
Amine;KAYAZ INVEST;KAYAZ INVEST;GROUPEMENT HABITAT AIN SEBAA;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;3000000;LOW;PRIS DE CONTACT AVEC DT DE PROJET ,TEMOIN POSER PAR CONCURRENCE , DANS ATTENT DE CONSULTATION (RESPONSABLE PROJET GROUPE);30/05/2026;
Amine;GROUPE BALBACHIR;GROUPE BALBACHIR;TOUR MALABATA TANGER;Tanger;Tanger;Tanger-Tétouan-Al Hoceïma;Maroc;;;;Residential;;VISITE;FAIBLE;;;3000000;LOW;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION ,RDV DEBUS AVRIL POUR RELANCER LE CLIENT (RESPONSABLE ACHAT);30/05/2026;
Amine;SGTM;SGTM;AEREPORT AGADIR;Agadir;Agadir;Souss-Massa;Maroc;;;;Industrial & Logistics;;CHIFFRAGE;FAIBLE;;;2500000;LOW;PREMIER OFFRE ENVOYER LE MERCREDI DERNIER , ATTEND RETOUR CLIENT ET DECLANCHER UNE REUNION DE PRESENTATION OFFRE ET NEGOCIATION;30/05/2026;
Bruno;FERMABAT;FERMABAT;DIVERS IMB;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;VISITE;MOYEN;;;4000000;MED;;30/04/2026;
Bruno;TGCC;TGCC;ARZANA VILLA;RABAT;RABAT;Rabat-Salé-Kénitra;Maroc;;;;Residential;;CHIFFRAGE;FAIBLE;;;3850000;LOW;;30/04/2026;
Taoufik;RCHFORET;RCHFORET;CASA ECOLE HASANIA;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;OFFRE;IMPORTANT;;;3800000;HIGH;le devis déjà valide fin construction mois MAI;18/06/2026;
Bruno;CGI;CGI;VILLAS TAGHAZOUT BAY P25.1;AGADIR;AGADIR;Souss-Massa;Maroc;;;;Residential;;PERDUE;MOYEN;;;3629629;LOW;;01/09/2026;
Bruno;CGI;CGI;R5 CUISINE;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;3600000;HIGH;;30/08/2026;
Bruno;CGI;CGI;R5 BOIS;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;3578000;HIGH;;30/04/2026;
Bruno;AGADIR BAY;AGADIR BAY;RESIDENTIEL Q 62;AGADIR;AGADIR;Souss-Massa;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;3321089;HIGH;;30/06/2026;
Bruno;GROUPE AHOCIENIA;GROUPE AHOCIENIA;CABO CUISINE;TETOUAN;TETOUAN;Tanger-Tétouan-Al Hoceïma;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;3273000;HIGH;;30/06/2026;
Taoufik;GROUPE GEDAF SETTAT;GROUPE GEDAF SETTAT;SETTAT;Settat;Settat;Casablanca-Settat;Maroc;;;;Institutional;;OFFRE;IMPORTANT;;;3200000;HIGH;reste validation de devis;18/06/2026;
Taoufik;BAAMRANI MOUHCINE;BAAMRANI MOUHCINE;MARRAKECH ARAHA 2;Marrakech;Marrakech;Marrakech-Safi;Maroc;;;;Residential;;VISITE;MOYEN;;;3200000;MED;CLIENT FINALISE LE CCTP POUR LANCER LA CONSULTATION;18/06/2026;
Bruno;TGCC;TGCC;AEROPORT M5;RABAT;RABAT;Rabat-Salé-Kénitra;Maroc;;;;Commercial;;CHIFFRAGE;MOYEN;;;3172000;MED;;30/06/2026;
Bruno;AGADIR BAY;AGADIR BAY;DOMINIUM HOTEL CASA;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Hospitality;;VISITE;FAIBLE;;;3100000;LOW;;19/09/2026;
Oussama;ADDOHA ABIDJA;ADDOHA ABIDJA;TERRASSE D'ANGRE;Abidjan;Abidjan;;Côte d'Ivoire;;;;Residential;;GAGNEE;IMPORTANT;;;3100000;HIGH;;30/04/2026;
Amine;RHNIMA TRAVAUX;RHNIMA TRAVAUX;MAJD TR2 ALOMRAN;Oued Zem;Oued Zem;Béni Mellal-Khénifra;Maroc;;;;Residential;;GAGNEE;IMPORTANT;;;600000;HIGH;;30/05/2026;
